Domain,BL Designation,Industry,Sector,Stage,Funding,Registered,Age Band,SimilarWeb Traffic,Site Status,Notes
advancingecoag.com,Prospect Client,Manufacturing,Growth,Growth,Self Funded,2010-09-07,5y+,Not measured,Live,"Listed as a PROSPECT — not an actual investment or partner. Domain is 15 years old."
arobs.com,Partner,Software,Technology,Growth,Self Funded,2000-06-16,5y+,Not measured,Live,"Legitimate Romanian software company established 2000. Peripheral partner relationship."
azimuthtechnology.com,Prospect Client/Investment,Public Safety,Manufacturing,Growth,Institutional,2011-11-18,5y+,Not measured,Live (timeout during check),"Listed as PROSPECT. Site timed out during WHOIS check. 15-year-old domain."
bfzrunners.com,Majority Owner,Consulting,Services,Growth,Self Funded,2021-10-12,2–5y,Not measured,Live,"One of Thomas Pepe's own companies. Consulting/running club hybrid. 4.5 years old."
bsln.health,Majority Owner,Health & Wellness,Technology,Stealth,Self Funded,2025-09-10,Under 1y,Not measured,Live (redirects to bslnhealth.com),"Thomas Pepe's direct competitor to Ones AI. Domain only 7 months old. Now redirects to bslnhealth.com (registered 2026-03-09). Technology claims (facial scan, voice biometrics, brainwave mapping) are not scientifically validated."
blvckadeverising.com,Minority Owner,Consulting,Services,Growth,Self Funded,,DEAD,Not measured,404 Dead,"Site returns 404. Domain listed as Minority Owner — company may be defunct."
blinkcommerce.io,Partner,Technology,Growth,Growth,Self Funded,,DEAD,Not measured,404 Dead,"Site returns 404. Listed as Partner."
c5capital.com,Partner,Aviation,Defense,Growth,Self Funded,2008-01-31,5y+,Not measured,Live,"Established aviation/defense capital firm. Likely a peripheral network connection, not a managed investment."
completethreatpreparedness.com,Partner,Public Safety,Services,Growth,Self Funded,2016-10-12,5y+,Not measured,Live,Listed as Partner. Public safety consulting.
constitutionalrightspac.com,Prospect Client/Investment,Consulting,Services,Growth,Self Funded,2013-03-04,5y+,Not measured,Live,"Listed as PROSPECT — not an investment."
czechoslovakgroup-usa.com,Partner,Aviation,Defense,Growth,Self Funded,2022-10-24,2–5y,Not measured,Live,"US arm of Czechoslovak Group (CSG), a real defense company. Peripheral partner."
defensepatriot.com,Partner,Aviation,Defense,Growth,Self Funded,2015-09-11,5y+,Not measured,Live,Defense-focused site. Listed as Partner.
enjoyyourlifebrand.com,Partner,Health & Wellness,E-Commerce,Startup,Self Funded,2018-12-31,5y+,Not measured,Live,Health & wellness e-commerce brand. Listed as Partner (startup stage).
entoro.com,Partner,Consulting,Services,Growth,Institutional,2016-07-22,5y+,Not measured,Live,Established fintech/capital markets platform. Peripheral institutional partner.
gabrielai.church,Investment,Software,Technology,Startup,Self Funded,2025-11-29,Under 1y,Not measured,Live,"5-month-old AI Bible app. Listed as an Investment. Functional site but brand new. Registered on Squarespace."
hawkgrips.com,Partner,Health & Wellness,Technology,Growth,Self Funded,2011-03-30,5y+,~2K–5K/mo (Global Rank ~4.3M),Live,"Legitimate physical therapy tool company. Meaningful traffic. Likely genuine partner relationship."
impreseog.wixsite.com,Majority Owner,Real Estate,Construction,Growth,Self Funded,2012-05-08 (wixsite.com),Wix subdomain,Not measured,Wix subdomain,"Not a real domain — hosted on Wix subdomain. Listed as Majority Owner in Real Estate/Construction. Embarrassing for a VC portfolio."
inserviceofhumanity.org,Client,Consulting,Services,Growth,Self Funded,2024-08-15,1–2y,Not measured,Live,"AI ethics nonprofit, 20 months old. Listed as Client (not an investment). Site powered by marketrithm.com — another portfolio company (self-referential). No events have actually occurred."
janzmedicalsupply.com,Prospect Client/Investment,Consulting,Services,Growth,,2019-03-06,5y+,Not measured,Live,"Listed as PROSPECT. 7-year-old medical supply company."
jjtactical-gov.co,Partner,Public Safety,Defense,Growth,Self Funded,,DEAD,Not measured,404 Dead,"Site returns 404. Listed as Partner in Public Safety/Defense."
jujiclub.com,Prospect Client/Investment,Health & Wellness,E-Commerce,Growth,Raising,2018-04-13,5y+,Not measured,Live,"Listed as PROSPECT. Health & wellness e-commerce. 8 years old."
kimurapowertrainer.com,Majority Owner & Board Member,Health & Wellness,E-Commerce,Startup,Raising,2023-10-28,2–5y,Not measured,Live,"Thomas Pepe listed as Majority Owner & Board Member. 2.5-year-old fitness e-commerce startup. Raising capital."
larryward.ai,Prospect Client/Investment,Consulting,Technology,Stealth,PE,2024-12-18,1–2y,Not measured,Live,"Listed as PROSPECT. 16-month-old AI consulting site. PE-backed according to BL. Registered privately."
liveoakstrat.com,Partner,Consulting,Manufacturing,Growth,Self Funded,2019-11-11,5y+,Not measured,Live,Strategy consulting firm. Listed as Partner.
marketrithm.com,Prospect Client/Investment,Consulting,Technology,Growth,Self Funded,2018-09-14,5y+,Not measured,Live,"Listed as PROSPECT — yet also powers inserviceofhumanity.org CMS (another portfolio company). Circular relationship."
msm-northamerica.com,Partner,Public Safety,Defense,Growth,Self Funded,2025-01-13,1–2y,Not measured,Live,"Defense ammunition manufacturer (part of CSG Group). Won $635M Army contract Aug 2025. Thomas is listed as Partner — almost certainly a peripheral association, not an operator role. CEO is Jason W. Gaines."
outlet.rent,Minority Owner & Board Member,Technology,Stealth,Stealth,Self Funded,2024-03-20,2–5y,Not measured,Live,"Thomas listed as Minority Owner & Board Member. Real estate tech platform. 2 years old. Stealth stage."
p8ball.com,Majority Owner,Sports,E-Commerce,Startup,Self Funded,2022-03-08,2–5y,Not measured,Live,"Thomas listed as Majority Owner. Sports e-commerce startup. 4 years old."
politicalmedia.com,Prospect Client/Investment,Consulting,Services,Growth,Self Funded,2000-02-26,5y+,Not measured,Live,"Listed as PROSPECT. Established political media firm (26 years old). Not an investment."
qsenergy.com,Client & Minority Owner,Oil & Gas,Services,Public Co,Public Markets,2012-01-02,5y+,Not measured,Live,"Publicly traded company. Listed as Client & Minority Owner. Legitimate but niche/struggling public co."
quixoticlabs.com,Prospect Client,Technology,Growth,Growth,Self Funded,2018-07-10,5y+,Not measured,Live,"Listed as PROSPECT only. 8-year-old tech company."
responsival.com,Partner,Consulting,Services,Growth,Self Funded,2014-09-25,5y+,Not measured,Live,Web/design agency. Listed as Partner.
rightscorp.com,Client & Minority Owner,Rights & IP,Services,Public Co,Public Markets,2012-04-09,5y+,Not measured,Live,"Publicly traded copyright enforcement company. Listed as Client & Minority Owner. Real company."
rytebox.com,Partner,Rights & IP,Technology,Startup,Self Funded,2019-02-14,5y+,Not measured,Live,Rights/IP tech startup. Listed as Partner.
shoxammo.com,Minority Owner & Board Member,Public Safety,Manufacturing,Stealth,Raising,2021-01-04,2–5y,Not measured,Live,"Thomas listed as Minority Owner & Board Member. Ammunition manufacturer. 5 years old. Stealth/raising."
theeruptor.com,Client,Services,Startup,Startup,Raising,2016-11-17,5y+,Not measured,Live,"Listed as Client only — not an investment. Raising capital."
thefamilywins.org,Co Founded,Health & Wellness,E-Commerce,Startup,Self Funded,2019-01-25,5y+,Not measured,Live,"Thomas listed as Co-Founder. Health & wellness e-commerce. 7 years old."
thelumen.group,Partner,Consulting,Services,Growth,Self Funded,2024-07-11,1–2y,Not measured,Live,"21-month-old consulting firm. Listed as Partner."
thesilentpartnermarketing.com,Partner,Public Safety,Services,Growth,Self Funded,2013-02-21,5y+,Not measured,Live,Marketing/consulting firm. Listed as Partner.
timtamperformance.com,Majority Owner,Health & Wellness,E-Commerce,Growth,Raising,2021-12-02,2–5y,~3K–8K/mo (Global Rank ~3.1M),Live,"Thomas listed as Majority Owner. Percussive therapy device brand. 4.5 years old. Raising capital. Has measurable traffic."
tristargym.com,Prospect Client/Investment,Health & Wellness,Services,Growth,Self Funded,2001-08-30,5y+,Not measured,Live,"Listed as PROSPECT. Established gym (25 years old). Not an actual investment."
wiv.vc,Partner,Software,Technology,Growth,VC,DEAD,DEAD,Not measured,404 Dead,"Site returns 404. Listed as Partner VC firm."
xpservices.us,Partner,Aviation,Defense,Growth,Self Funded,DEAD,DEAD,Not measured,404 Dead,"Site returns 404. Listed as Partner."
